epoch,train_loss,val_loss
0,0,0.2694112296615328,0.1361788883805275
0,1,0.13875712705897048,0.13529032468795776
0,2,0.13117870514268998,0.13184749521315098
0,3,0.12888661684928002,0.1275881491601467
0,4,0.12663944704192026,0.12702456302940845
0,5,0.12527413859769895,0.12093779258430004
0,6,0.12312334582403109,0.12134771049022675
0,7,0.1240677988374388,0.11900249868631363
0,8,0.12069232839268523,0.12443230487406254
0,9,0.12058694641311447,0.12175509706139565
0,10,0.11951031197201122,0.11899319291114807
0,11,0.11964161016724327,0.1187592688947916
0,12,0.11757302806748972,0.11816774867475033
0,13,0.11720542106535528,0.1123837549239397
