epoch,train_loss,val_loss
0,0,0.23058050793486756,0.1066359095275402
0,1,0.10718794108985306,0.10089416988193989
0,2,0.10059717974879524,0.09841730818152428
0,3,0.097936969298821,0.09706986322999
0,4,0.09519948239450331,0.0928303711116314
0,5,0.09293639659881592,0.0917386319488287
0,6,0.10297566149141882,0.09187222085893154
0,7,0.09095356990764668,0.0896057803183794
0,8,0.08926074748689478,0.08915137127041817
0,9,0.08805806702607638,0.08809285797178745
0,10,0.08703048836875271,0.0855010636150837
0,11,0.08617256310853091,0.08531521260738373
0,12,0.08541917742846848,0.08468071930110455
0,13,0.08472977597992142,0.08390670083463192
0,14,0.08403680096198986,0.08393772505223751
0,15,0.08343082801862196,0.0829913318157196
0,16,0.08288580992005089,0.08257591724395752
0,17,0.08231670496525703,0.0824768915772438
0,18,0.08186403458768671,0.08184744231402874
0,19,0.08139217596549492,0.08277326636016369
0,20,0.08088759265162727,0.08131096698343754
0,21,0.08046989800868096,0.08165042661130428
0,22,0.080015167593956,0.08177250809967518
0,23,0.07958469743078406,0.08072278276085854
