0,1,labels,names
3.4978487,-0.46253452,train,crop_00025_CHOZN_1B6_002_XY079_DIC.tif
-1.6201189,-0.96221006,train,crop_00020_PHX26_1D1_001_XY068_DIC.tif
-1.1981487,-0.8900706,train,crop_00036_PHX26_1D4_001_XY085_DIC.tif
-1.5316393,-0.6978724,train,crop_00024_CHOZN_1B7_001_XY024_DIC.tif
-1.674592,0.08028249,train,crop_00054_CHOZN_1B6_001_XY018_DIC.tif
1.0568463,-0.9734822,train,crop_00057_PHX26_1D4_001_XY046_DIC.tif
-1.4846231,-0.11042254,train,crop_00001_CHOZN_1B5_001_XY010_DIC.tif
3.3182075,-0.38101274,train,crop_00019_PHX26_1D2_001_XY068_DIC.tif
-0.9483268,-0.088214345,train,crop_00043_CHOZN_1B5_001_XY099_DIC.tif
-2.00228,0.10892029,train,crop_00037_CHOZN_1B7_001_XY068_DIC.tif
0.31674522,0.98828137,train,crop_00013_CHOZN_1B6_001_XY100_DIC.tif
0.79761446,1.0995023,train,crop_00061_PHX26_1D2_001_XY066_DIC.tif
-1.4328289,-0.009303737,train,crop_00017_CHOZN_1B5_001_XY067_DIC.tif
2.1182122,-1.5307525,train,crop_00036_PHX26_1D4_001_XY011_DIC.tif
0.63534385,-0.58595055,train,crop_00017_PHX26_1D1_001_XY004_DIC.tif
1.056287,-1.4879987,train,crop_00016_CHOZN_1B5_001_XY054_DIC.tif
0.573846,1.4894254,train,crop_00044_CHOZN_1B7_001_XY027_DIC.tif
1.8609251,0.54909784,train,crop_00039_PHX26_1D4_001_XY077_DIC.tif
-0.7370328,-0.030053668,train,crop_00026_PHX26_1D3_001_XY066_DIC.tif
-1.7746397,-0.6135104,train,crop_00035_CHOZN_1B6_002_XY089_DIC.tif
0.7142439,-0.21400172,train,crop_00033_CHOZN_1B7_001_XY040_DIC.tif
3.052761,-0.31351134,train,crop_00003_PHX26_1D2_001_XY052_DIC.tif
-1.0446839,1.3508302,train,crop_00043_CHOZN_1B5_001_XY075_DIC.tif
0.17073779,0.33163747,train,crop_00017_PHX26_1D2_001_XY025_DIC.tif
-0.85933393,0.19819301,train,crop_00012_CHOZN_1B6_001_XY023_DIC.tif
1.2347101,0.5684025,train,crop_00020_PHX26_1D2_001_XY079_DIC.tif
1.2363725,0.8552478,train,crop_00027_PHX26_1D2_001_XY078_DIC.tif
-1.9020151,-0.13331157,train,crop_00021_PHX26_1D3_001_XY081_DIC.tif
-1.4267329,0.9250765,train,crop_00003_CHOZN_1B6_002_XY077_DIC.tif
-0.3171732,-0.529404,train,crop_00015_CHOZN_1B5_001_XY020_DIC.tif
3.5343971,-0.6323567,train,crop_00018_PHX26_1D4_001_XY082_DIC.tif
-1.2473167,-0.7293218,train,crop_00006_PHX26_1D1_001_XY068_DIC.tif
-1.1729859,-0.70617825,train,crop_00018_CHOZN_1B6_001_XY099_DIC.tif
3.0021865,-0.5232215,train,crop_00018_PHX26_1D3_001_XY050_DIC.tif
0.80915797,-0.122637324,train,crop_00009_CHOZN_1B5_001_XY049_DIC.tif
-0.8591992,0.9915008,train,crop_00030_CHOZN_1B5_001_XY054_DIC.tif
1.4666569,0.41894814,train,crop_00034_PHX26_1D1_001_XY068_DIC.tif
-0.106755815,-0.37415847,train,crop_00050_CHOZN_1B5_001_XY022_DIC.tif
-0.7570981,1.0777414,train,crop_00062_CHOZN_1B6_002_XY054_DIC.tif
-0.88601834,1.089766,train,crop_00039_PHX26_1D1_001_XY016_DIC.tif
1.9472483,0.47243565,train,crop_00000_CHOZN_1B5_001_XY047_DIC.tif
-0.90737426,-0.11521012,train,crop_00058_PHX26_1D4_001_XY068_DIC.tif
-0.87880385,1.0521455,train,crop_00047_PHX26_1D1_001_XY021_DIC.tif
-0.8611403,-0.31319046,train,crop_00063_CHOZN_1B6_002_XY083_DIC.tif
-1.89988,-0.4053593,train,crop_00052_PHX26_1D2_001_XY046_DIC.tif
